Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
1,1.7750,35.96,1.4373,47.61
2,1.3758,50.17,1.1156,60.30
3,1.1518,58.53,0.9088,67.51
4,1.0007,64.23,0.8701,69.47
5,0.9068,68.02,0.7525,74.04
6,0.8346,70.29,0.7350,74.31
7,0.7712,72.76,0.7212,75.36
8,0.7379,74.04,0.6335,77.87
9,0.7028,75.32,0.5934,79.60
10,0.6726,76.39,0.5826,80.10
11,0.6526,77.16,0.5636,80.46
12,0.6429,77.46,0.6038,79.58
13,0.6258,77.97,0.5329,81.84
14,0.6046,78.85,0.5121,82.34
15,0.5938,79.05,0.5407,81.72
16,0.5852,79.47,0.5471,81.59
17,0.5751,79.88,0.5152,82.86
18,0.5626,80.30,0.5930,80.52
19,0.5457,80.68,0.4978,83.30
20,0.5422,81.02,0.4867,83.58
21,0.5337,81.36,0.4993,83.08
22,0.5230,81.72,0.5052,82.83
23,0.5138,82.01,0.4591,84.45
24,0.5043,82.42,0.5149,82.57
25,0.4966,82.58,0.4404,85.17
26,0.4777,83.26,0.4769,83.95
27,0.4750,83.31,0.4375,84.96
28,0.4622,83.72,0.4321,85.37
29,0.4476,84.35,0.4383,85.17
30,0.4407,84.58,0.4289,85.55
31,0.4351,84.64,0.4055,86.60
32,0.4152,85.40,0.4260,85.96
33,0.4090,85.60,0.4015,86.75
34,0.3964,86.14,0.3828,87.29
35,0.3841,86.67,0.3921,86.87
36,0.3758,86.79,0.3754,87.45
37,0.3636,86.98,0.3699,87.82
38,0.3554,87.53,0.3660,87.90
39,0.3407,88.11,0.3597,88.12
40,0.3377,88.28,0.3568,88.24
